词语 情感分类 强度
甘贵 pb 5
刚性 ph 3
高档 ph 5
高朗 ph 3
捞摸 nn 5
勒抑 nn 5
冷遇 ne 3
敛财 nn 5
凌夷 nn 3
流气 nn 5
高爽 pb 5
露丑 ng 5
乱民 nn 3
沦丧 nb 5
落套 nn 1
埋汰 nn 3
毛子 nd 3
没样儿 nn 1
媚外 nn 5
密谋 nn 5
冥顽 nn 5
高升 pa 7
更生 ph 3
工稳 ph 5
攻书 ph 3
公认 pg 7
挂记 pf 5
磨烦 ne 3
观止 ph 9
贯彻 ph 1
光溜 pb 5
呶呶 nn 3
闹架 nn 3
闹灾 ne 5
国本 ph 5
啮噬 ne 7
奴化 nn 5
殴打 nn 7
攀诬 nn 5
旁骛 nn 3
好评 ph 7
皮囊 nn 3
偏差 nn 3
剽取 nn 5
破财 ne 3
歧途 nn 5
起哄 nn 5
前愆 nn 3
枪替 nn 5
抢劫 nn 5
浩浩 ph 3
贺匾 ph 5
贺喜 pa 9
红星 ph 5
洪钟 ph 3
宏论 ph 7
护佑 pd 3
华彩 ph 5
欢歌 pa 5
欢宴 pa 5
挥毫 ph 5
回归 pa 1
活溜 ph 1
积德 ph 5
吉期 pa 7
窃夺 nn 5
侵袭 nn 5
倾轧 nn 5
求全 nn 1
取闹 nn 5
缺点 nn 9
饶舌 nn 3
认头 nn 3
辱命 nn 3
杀机 nn 5
蛇头 nd 5
生事 nn 3
失范 nn 3
失算 ne 5
手黑 nn 7
受苦 ne 5
受制 ne 5
衰颓 nn 5
搜刮 nn 5
损伤 nn 5
贪贿 nn 5
逃兵 nn 5
体罚 nn 5
偷盗 nn 7
透顶 nn 7
蜕化 nn 3
歪理 nn 5
顽梗 nn 5
妄人 nn 5
威胁 nn 5
违纪 nn 5
窝主 nn 7
芜杂 nn 5
嬉皮士 nd 3
瞎扯 nn 5
嫌忌 nn 5
险阻 ne 5
萧索 nn 5
邪魔 nn 5
泄密 nn 5
凶犯 nn 5
凶杀 nc 5
熊包 nn 5
虚话 nn 5
虚妄 nn 5
眩惑 nn 5
压制 nn 7
掩饰 nn 5
妖风 nn 5
窑子 nd 5
一窝蜂 nn 3
疑忌 nl 5
异端 nd 5
阴湿 nn 3
淫画 nn 5
引诱 nn 5
庸才 nn 5
诱胁 nn 5
迂气 nn 5
愚民 nn 5
郁然 ne 5
冤孽 nn 5
怨仇 nd 5
怨懑 nd 5
钦慕 pd 5
勤勤 ph 5
清官 ph 5
杂念 nn 3
灾祸 ne 5
佳境 ph 7
不甘心 ne 5
精卫填海 ph 5
美好 ph 9
至交 pb 7
偏袒 nn 5
心如死灰 nb 9
见长 ph 7
价廉质优 ph 7
一尘不染 ph 5
榜样 ph 5
拨弄 nn 5
光棍 nn 7
憎恶 nd 7
精悍 ph 7
不足挂齿 nn 3
懒散 nn 5
粗重 nn 3
惊人 pc 7
英武 ph 7
不甘 ne 9
虚伪 nn 9
融融 pa 5
遗臭万年 nd 9
息事宁人 ne 1
自在 pe 9
坏事 nn 7
崩溃 ne 9
得过且过 nn 5
宽容 ph 7
自得其乐 pa 7
心惊肉跳 nc 7
恋爱 pb 9
赘疣 nn 9
萧瑟 nb 7
高贵 ph 7
英豪 ph 7
摆布 nn 7
丝丝入扣 ph 5
体贴入微 ph 5
妻离子散 nb 7
告捷 pa 7
打掩护 nn 3
尸位素餐 nn 7
操持 ph 5
漠不关心 nn 3
栩栩如生 ph 7
服帖 pe 7
长上 pd 5
有头无尾 nn 7
安然 pe 5
妖媚 nn 5
碌碌 nn 7
不周 nn 3
仰望 pd 7
鼠辈 nn 9
幼稚 nn 7
风声鹤唳 ni 9
传家宝 ph 7
杞人忧天 nn 3
功德 ph 9
天香国色 ph 9
平庸 nn 3
无所事事 nn 7
高明 ph 7
驴唇不对马嘴 nn 7
实心实意 pg 5
私自 nn 3
喜欢 pb 5
陷落 nb 7
心慌意乱 ni 7
百孔千疮 nb 5
疏忽 nn 3
老调 nn 3
放火 nn 5
荒漠 nb 3
丰盈 ph 5
蠢动 nn 9
笃实 ph 5
牵连 ne 5
功勋 ph 9
天翻地覆 nn 7
烦扰 ne 9
敞亮 pa 5
祸胎 nn 9
心虚 ni 1
模范 ph 5
实在 ph 5
高人 ph 5
昏沉 ne 5
平缓 ph 1
身不由己 nb 7
欠缺 nn 3
千钧一发 nc 5
马大哈 nn 3
光洁 ph 3
怀恋 pf 7
花魁 ph 7
沉痛 nb 7
虚度 nn 5
徘徊 ne 7
幌子 nn 5
水到渠成 pa 7
丢脸 ng 5
鞭辟入里 ph 5
畜生 nn 9
赤裸裸 nn 3
有口皆碑 ph 9
出头 pa 5
有血有肉 ph 5
迎刃而解 pa 5
狂暴 nn 7
说嘴 nn 5
玲珑 ph 5
愁眉不展 ne 9
侈谈 nn 5
纷乱 ne 5
浓郁 ph 5
天衣无缝 ph 9
拐子 nn 5
泛泛 nn 3
好听 ph 5
软弱 nn 5
对眼 pb 5
莫须有 nn 7
沉痼 nn 5
拘泥 nn 3
空想 nn 7
见不得人 nn 9
精雕细刻 ph 5
响当当 ph 5
半半拉拉 nn 5
岔子 ne 5
抬杠 nn 5
先人后己 ph 5
倚重 pg 7
抽风 nn 5
疙瘩 ne 5
惨绝人寰 nb 5
恢弘 ph 9
好人 ph 7
前辈 pd 5
零星 nj 1
危亡 nc 5
困顿 ne 7
瞎说 nn 7
急转直下 nj 5
解决 nd 1
融融 pb 3
阎罗 ph 5
便民 ph 5
惶惶不可终日 nc 9
亮堂 pa 3
甜美 pa 5
天翻地覆 ph 5
销魂 nb 7
荒废 nn 5
凌虐 nb 5
痛快淋漓 ph 7
动人 pb 3
垂头丧气 nn 5
背时 ne 5
洋洋 pa 5
阴沉 na 5
栽赃 nn 7
脏污 nn 5
噪聒 ne 5
责罚 nn 5
贼赃 nn 7
肢解 nn 5
滞销 nn 5
清顺 ph 3
清越 ph 5
轻俏 ph 5
晴好 ph 5
庆贺 pa 5
全胜 ph 5
热火 ph 5
任侠 ph 5
柔润 ph 5
睿智 ph 5
善行 ph 5
神力 ph 5
省心 ph 3
盛况 ph 5
盛赞 ph 7
诗意 ph 5
爽健 ph 5
肃然 pd 5
周折 ne 5
装糊涂 nn 5
捉弄 nn 5
滋事 nn 5
走内线 nn 5
嘴长 nn 5
罪孽 nn 9
作死 nn 9
坐误 nn 7
腾欢 pa 5
贴心 pb 5
同乐 pa 5
婉丽 ph 5
温婉 ph 3
稳静 ph 3
沃饶 ph 5
无双 ph 9
细嫩 ph 5
先哲 pd 5
纤巧 ph 5
相成 ph 5
骁健 ph 5
心秀 ph 5
兴隆 ph 5
寄怀 pd 5
雄踞 ph 5
雄图 ph 5
秀润 ph 5
煊赫 ph 5
勋劳 ph 5
雅怀 ph 5
嫣红 ph 5
延誉 ph 5
扬名 ph 5
毅勇 ph 5
英风 ph 5
英秀 ph 5
莹莹 ph 3
勇决 ph 7
优礼 pa 5
幽韵 ph 5
有素 ph 5
圆浑 ph 5
佳肴 ph 7
兼顾 ph 1
坚挺 ph 5
简质 ph 5
举荐 pg 7
见地 ph 7
见效 ph 5
江山 ph 3
奖赏 ph 3
姣妍 ph 5
姣美 ph 5
佼佼 ph 9
教益 ph 5
解渴 ph 3
巾帼 ph 7
金汤 pg 7
匀实 ph 5
赞服 ph 9
战鹰 ph 7
珍宝 pb 7
珍闻 pc 5
正论 ph 5
指教 pd 5
至品 ph 7
致力 ph 5
智巧 ph 5
忠言 ph 7
壮健 ph 5
拙直 ph 3
卓异 ph 7
滋养 ph 3
进展 pa 3
晋职 pa 3
尊严 pd 5
尽欢 pa 7
精本 ph 3
精进 ph 5
精敏 ph 5
精通 ph 7
精一 ph 5
景气 ph 3
净化 ph 1
敬养 pd 3
炯然 ph 5
救星 ph 5
巨构 ph 5
捐躯 ph 3
婞直 ph 7
爱搭不理 nn 5
岸然 ph 5
板板六十四 nn 5
背地里 nn 5
秉性剌戾 nn 9
站得高，看得远 ph 5
有礼貌 ph 5
因材施教 ph 5
唯命是从 nn 7
心地善良 ph 7
秀色可餐 pb 9
不到黄河心不死 nn 5
有价值 ph 3
不对茬儿 nd 5
郑重其事 ph 9
郁郁葱葱 ph 5
雍容华贵 ph 7
绚丽多彩 ph 7
胸怀坦白 ph 7
不敬 nn 7
值钱 ph 3
味道鲜 ph 7
手无缚鸡之力 nn 9
体力不支 ni 7
私下 nn 7
松散散 nn 7
太随便 nn 9
蜕化变质 nn 9
唯我独尊 nn 9
无价值 nn 5
无吸引力 nn 5
险象环生 nc 7
不名一文 nb 5
不清不楚 nn 5
不妥 nn 5
不宜 nn 3
不羁 nn 7
惨无人道 nn 9
有意义 ph 5
玄远 ph 5
岌岌不可终日 nc 7
罪恶深重 nd 9
朝不虑夕 nb 5
吃不开 ne 7
臭气冲天 nn 9
大错而特错 nn 9
呆钝 nn 5
道德败坏 nn 9
低人一等 nn 7
刁恶 nn 7
短视 nn 7
繁复 ne 5
废旧 nn 1
腐朽没落 nn 9
疙里疙瘩 ne 5
孤孤单单 nb 7
寡了叭叽 nn 7
怪里怪气 nn 7
含糊其词 nn 5
毫无价值 nn 9
黑灯瞎火 nc 5
黑黢黢 nc 5
糊糊涂涂 nn 3
荒诞无稽 nn 9
荒瘠 nd 7
灰头灰脸 ne 7
智勇双全 ph 9
炙手可热 nd 7
忠心赤胆 ph 7
准点 ph 3
足智多谋 ph 5
最新 ph 3
矍铄 ph 7
娉婷 ph 5
璞玉浑金 ph 7
婚外 nn 5
虔心 ph 5
搥胸顿足 nb 9
板面孔 ne 5
不待见 nn 5
猜疑 nl 5
千里馈粮 nn 7
愁眉紧锁 ne 7
打骂 nn 5
堵得慌 ne 7
发怔 ne 3
烦厌 ne 7
骇然失色 nc 9
后悔莫及 nh 9
悔不该 nh 7
急眼 na 5
看扁 na 5
哭丧着脸 nb 5
拉长个脸 ne 5
脸红耳热 ng 7
骂骂咧咧 nn 5
闷郁 ne 5
怒骂 nn 5
气鼓鼓 na 5
瞧不上 nd 5
柔肠百结 ne 5
说风凉话 nn 5
投诉 na 7
向隅而泣 nb 5
心惊胆颤 nc 9
羞臊 ng 7
讶异 pc 5
幽忧 ne 3
战兢兢 nc 7
怔怔 pc 3
自疚 nh 5
怅然 ne 5
称心如愿 pa 5
妒火中烧 nk 9
给脸 pd 5
恨不能 ne 7
祭奠 pd 5
敬贺 pd 5
考究 ph 5
酷好 pb 7
梦寐以求 pb 9
安然无事 pe 7
期盼 pf 5
翘企 pf 7
如痴如醉 pb 7
家贫如洗 nb 5
疼惜 pb 7
和蔼 pb 5
喜盈盈 pa 5
楚楚可人 pb 7
小里小气 nn 5
奸恶 nn 9
见识短浅 nn 5
叩首 pd 7
狡计多端 nn 7
结结巴巴 nn 5
精力枯竭 nb 5
窘急 ni 7
剧毒 nc 7
博闻强记 ph 7
不费吹灰之力 ph 3
可惊 pc 5
不厌其烦 ph 5
才思敏捷 ph 7
沉鱼落雁 ph 7
狂傲 nn 7
困难重重 ne 9
出以公心 ph 5
狼籍 nn 7
纯厚 ph 5
老派 nn 5
冷峻 nn 5
离心离德 nn 7
哩溜歪斜 nn 5
大名鼎鼎 ph 7
了不得 ph 7
调谐 ph 3
令人困倦 nn 5
令人生气 na 5
乱虐并生 nn 9
乱蓬蓬 nn 5
端雅 ph 5
卖不掉 nn 5
猫哭老鼠 nn 9
没好气 na 5
没轻没重 nn 5
没用 nn 5
绵里藏针 nn 7
命苦 nb 5
目光凶狠 nn 5
难说话 nn 3
一无所长 nn 9
质量差 nn 5
拥挤不堪 nn 7
一笔一划 ph 7
一刻千金 ph 9
有才干 ph 7
有鼻子有眼 ph 5
欣欣然 ph 5
难以 ne 3
闹嚷嚷 nn 5
盘根错节 nn 5
蓬散 nn 3
七零八落 nb 7
强制性 nn 5
清冷 nb 3
囚首垢面 nn 9
缺心眼 nn 7
人不知，鬼不觉 nn 5
冗赘 nn 5
若明若暗 nn 1
骚乱性 nn 5
傻头傻脑 nn 5
神不知鬼不觉 nn 5
发人深思 ph 1
通今博古 ph 7
十恶不赦 nn 9
十室九空 nb 7
风度翩翩 ph 7
风流倜傥 ph 7
自命清高 nn 9
风姿绰约 ph 5
富可敌国 ph 3
坦坦荡荡 ph 9
天造地设 ph 9
高端 ph 5
高屋建瓴 ph 7
个性鲜明 ph 5
恭恭敬敬 pd 5
古色古香 pb 3
光可鉴人 ph 3
过谦 nn 3
和风细雨 pb 3
合情合理 ph 5
很有意义 ph 7
虎虎生气 ph 7
属实 ph 1
手不释卷 ph 3
史诗般 ph 5
实惠 ph 7
花哨 nn 3
划时代 ph 9
极好 ph 9
生机盎然 ph 7
价值千金 ph 9
坚固耐用 ph 5
身强体壮 ph 5
见多识广 ph 5
健康美 ph 3
金壁辉煌 ph 9
尽心尽力 ph 9
嗓子好 ph 5
锐敏 ph 5
如鱼得水 pa 9
炯炯有神 ph 5
具有历史意义 ph 9
认认真真 ph 5
饶有余韵 ph 7
确有其事 pg 7
确当 pg 5
可以信赖 pg 5
求实 ph 5
宽怀 ph 3
狂放 ph 3
勤勤恳恳 ph 5
老诚 ph 3
未成熟 nn 5
性情急躁 nn 9
恰如其分 ph 7
有毒 nc 5
有失身分 nn 5
羽毛未丰 nn 5
灾难性 nc 9
令人高兴 pa 3
令人羡慕 pb 3
万人空巷 ph 9
无容置疑 pg 9
有头有尾 ph 7
有理有据 pg 7
仪表堂堂 ph 9
心口如一 ph 9
无误 ph 5
平和 ph 3
谈言微中 ph 5
曼妙 ph 3
敏悟 ph 3
名实相符 ph 7
耐穿 ph 3
浓香 pb 3
蓬勃向上 ph 5
矮子看戏 nn 5
锦绣江山 ph 7
鞠躬尽瘁，死而后已 ph 9
为国捐躯 nb 7
忧国恤民 ph 9
经邦纬国 ph 7
治国安民 ph 7
破家危国 nn 9
误国殄民 nn 9
大权旁落 nn 7
铜驼荆棘 nb 7
内忧外患 nb 7
乾坤再造 ph 9
从严 ph 5
欣慰 pa 5
快慰 pa 5
喜悦 pa 5
清馨 ph 3
芬芳 ph 3
欢蹦乱跳 pa 7
皆大欢喜 pa 7
雀跃 pa 7
喜气洋洋 pa 7
恭喜 pa 5
令人满意 pa 5
怡然自得 pa 5
满载而归 pa 5
起劲 pa 3
势如破竹 pa 7
兴冲冲 pa 5
轻快 pa 3
可喜 pa 5
捧檄色喜 pa 5
鼓腹讴歌 pa 5
乐而忘返 pa 5
赏心乐事 pa 5
洋洋得意 pa 5
打成一片 pa 5
破涕为笑 pa 5
粲然 pa 5
哄笑 nn 5
喜眉笑眼 pa 5
鼓歌载舞 pa 5
甜蜜 pa 5
怀里装梳子－舒心 pe 5
哑巴拾金条－喜不可言 pa 7
热闹 pa 5
弹冠相庆 nn 7
不咎既往 pa 5
又红又专 ph 5
报捷 pa 5
珍爱 pb 5
赞赏 ph 5
怜悯 nb 5
狂热 pb 9
打动 pb 3
怜爱 pb 7
娇养 nn 5
流连忘返 pb 7
舍不得 nb 5
迷上 pb 7
兴致 pb 3
心爱 pb 7
侧重 pb 1
无价之宝 pb 7
艳慕 pb 7
温存 pa 3
稚嫩 pb 3
嘘寒问暖 pb 5
不分彼此 pb 7
亲密无间 pb 7
鱼水情深 pb 9
活力 ph 3
甜犊情深 pb 9
渴慕 pk 9
娇嫩 ph 3
心肝宝贝 pb 7
慰劳 pb 1
和煦 ph 3
叫好 ph 5
柔情似水 pb 5
好吃 ph 3
独具特色 ph 7
稀有 ph 3
敬仰 pd 9
瞧得起 pd 3
承蒙 pd 5
赐教 pd 5
肃穆 pd 7
推戴 pd 7
先驱 ph 7
心服 pd 7
虔诚 pd 7
钦敬 pd 7
天保九如 pk 7
龟年鹤寿 pk 7
福寿绵绵 pk 7
长生不老 pk 7
老一辈 pd 5
从谏如流 ph 5
拜聆 pd 7
慈祥 pb 5
释然 pe 3
温厚 ph 3
放松 pe 1
婉顺 ph 5
悠闲 pe 3
平淡 pe 1
绰有余裕 ph 5
泰然自若 pe 3
平服 pe 5
安恬 pe 7
牵挂 pf 3
怀旧 pf 3
相思 pf 5
心心念念 pf 7
不分畛域 pg 5
腹心 pg 7
保佑 pk 5
百里挑一 ph 9
标致 ph 5
才华 ph 7
吃苦耐劳 ph 5
出众 ph 7
清晰 ph 3
热情 ph 5
踔厉 ph 5
全始全终 ph 5
豪言壮语 ph 5
坚定 ph 5
匠心独运 ph 7
慷慨 ph 5
聪慧 ph 5
大义凛然 ph 7
多谋善断 ph 7
丰富多彩 ph 5
高超 ph 7
快刀斩乱麻 ph 3
合意 pe 1
廉洁 ph 5
流利 ph 5
美观 ph 5
振作 ph 1
敏锐 ph 5
能手 ph 5
中看 ph 3
明丽 ph 5
艳丽 ph 3
妖娆 ph 5
雅俗共赏 ph 7
披星戴月 ph 7
气壮山河 ph 7
巧妙 ph 5
勤学好问 ph 5
热火朝天 ph 7
容光焕发 ph 7
神圣 ph 5
实事求是 ph 5
专心 ph 5
丹心 ph 7
忠于职守 ph 7
铁面无私 ph 7
万众一心 ph 7
文豪 ph 9
无畏 ph 5
下笔成章 ph 5
勇猛 ph 5
优秀 ph 5
渊博 ph 5
正派 ph 5
壮观 ph 7
和善 ph 5
慈和 ph 5
公正 ph 5
端方 ph 3
心直口快 ph 3
信实 ph 5
红心 ph 5
淳厚 ph 5
戆直 ph 3
骁勇 ph 7
刚健 ph 5
神勇 ph 7
开化 ph 3
恢廓 ph 5
虚怀若谷 ph 7
正气 ph 5
慈悲 ph 5
侠义 ph 5
不偏不倚 ph 5
文气 ph 5
雄赳赳 ph 7
飘逸 ph 5
健谈 ph 5
性感 ph 5
自告奋勇 pk 7
有志者事竟成 ph 7
救苦救难 ph 7
讲信修睦 ph 5
大发慈悲 ph 7
才气 ph 5
祝哽视噎 pd 5
情同手足 pb 7
优雅 ph 5
不屈不挠 ph 7
安生 pe 5
繁茂 ph 5
洁白 ph 3
嘹亮 ph 3
平坦 ph 3
清脆 ph 3
适宜 ph 5
详尽 ph 5
雪白 ph 1
茁壮 ph 5
清洌洌 ph 3
一清二楚 ph 5
快速 ph 5
短平快 ph 5
猛将 ph 3
英雄好汉 ph 7
学好 ph 3
不徇私情 ph 5
周济 ph 5
扶贫帮困 ph 5
解困扶贫 ph 5
经久不衰 ph 7
称誉 ph 5
啧啧称赞 ph 7
韶秀 ph 5
妩媚 ph 5
光灿夺目 ph 7
吃苦在前 ph 7
廉洁奉公 ph 7
反腐倡廉 ph 5
勇敢者 ph 3
本分人 ph 3
贤人 ph 7
医圣 ph 9
清清白白 ph 5
如火如荼 ph 7
长盛不衰 ph 7
奇伟 ph 7
高精度 ph 3
源远流长 ph 7
力透纸背 ph 7
青史名垂 ph 9
举世闻名 ph 7
醇雅 ph 5
详实 ph 3
真金不怕火炼 ph 5
高强 ph 5
博大精深 ph 7
登峰造极 ph 9
别有风味 ph 5
绘影绘色 ph 5
过硬 ph 5
上乘 ph 5
言之有物 ph 3
遨游 pa 3
宝典 ph 5
本色 ph 5
民怨沸腾 na 9
悲愤交加 na 9
大动肝火 na 9
火气 na 3
怒不可遏 na 9
惹气 na 5
窝火 na 5
光火 na 5
无明火 na 5
耍态度 na 5
触怒 na 3
怒色 na 3
犯肝气 na 3
吃了芋头不下肚－顶心顶肺 na 5
勃然变色 na 9
雷霆之怒 na 9
拍案而起 na 9
切齿愤盈 na 9
悲痛 nb 5
哀痛 nb 5
心酸 nb 3
怏怏 nb 3
悲痛欲绝 nb 9
伤悲 nb 5
心如刀绞 nb 9
可惜 nb 5
抱屈 ne 5
悲辛 nb 5
苦头 nb 3
人地生疏 nb 1
挥泪 nb 5
抽咽 nb 5
痛哭 nb 7
叹气 nb 1
孤独 nb 3
髀肉复生 nb 5
触景生情 nb 3
长亭短亭 nb 3
幽明永隔 nb 9
短暂 nb 1
捶胸顿足 nb 9
凄风苦雨 nb 7
撑船的竹蒿－提起泪流 nb 7
泪如秋夜雨－一点一声愁 nb 7
钢刀吞肚里－割心肠 nb 7
黄连水里泡竹笋－苦透了 nb 7
沉冤莫白 ne 9
创巨痛深 nb 9
寂寥 nb 5
悲鸣 nb 7
惊惶 nc 7
担惊受怕 nc 5
惊慌失措 ni 5
面无人色 nc 9
唯恐 nc 5
缩头缩尾 nc 3
阴森 nc 3
严酷 nc 3
山羊见了老虎皮－望而生畏 nc 5
有口难言 ne 7
侧目而视 nc 5
毛发森竖 nc 9
胁肩累足 nc 7
暗礁 nc 5
败露 nn 5
残暴 nn 9
猖狂 nd 7
臭味相投 nd 5
狗腿子 nd 7
黑心肠 nd 7
倒行逆施 nd 9
恶霸 nn 7
诽谤 nn 7
狂妄 nd 7
老奸巨滑 nd 9
掠夺 nd 7
嫌恶 nd 7
该死 nd 7
抱恨 nd 5
恶毒 nd 7
欺世盗名 nd 5
敲诈勒索 nd 7
嫌怨 nd 9
罄竹难书 nn 9
看不惯 nd 1
蔑视 nd 7
忌恨 nd 5
打入冷宫 nd 5
顽抗 nn 3
惟利是图 nn 5
乌烟瘴气 nn 3
阴险 nn 9
众叛亲离 nb 9
罪在不赦 nd 9
唾弃 nd 7
邪行 nd 1
惨毒 nn 7
可笑 nd 1
蒙骗 nn 5
轻侮 nd 5
记恨 nd 3
叫化子过瘾－讨厌 nd 3
剥皮抽筋 nd 9
切齿拊心 nd 9
人言啧啧 nd 5
不值一钱 nn 7
言者谆谆，听者藐藐 nn 5
夜叉 nd 5
奸妇 nd 7
反唇相讥 nd 3
坏蛋 nd 7
蛇蝎 nd 7
祸水 nd 7
贱货 nd 9
訾议 nd 5
有哭有闹 ne 3
矮子 nn 3
败家 nn 5
窝心 ne 5
无聊 ne 3
忧郁 ne 3
不好过 ne 3
烦恼 ne 5
没精打采 ne 3
惘然 ne 1
心烦 ne 5
怃然 nb 3
嗒然 nb 5
难忍 ne 7
顾虑 ne 3
心浮 ne 1
愁肠百结 ne 9
失悔 nh 5
困扰 ne 5
繁重 ne 3
愁眉苦眼 ne 5
忧形于色 ne 5
伍子胥过韶关－一夜愁白了头 ne 9
穷困 ne 5
无所适从 ne 3
无病自灸 ne 3
不死不活 ne 5
勉为其难 ne 3
费解 ne 5
败诉 ne 3
赧然 ng 3
面红耳赤 ng 7
羞面见人 ng 9
对不起 nh 5
问心有愧 nh 5
负疚 nh 5
亏心 nn 5
悔恨交加 nh 9
既有今日，何必当初 nh 7
惊慌 ni 7
发急 ni 1
心急火燎 ni 7
芒刺在背 ni 5
着慌 ni 3
心切 ni 3
手忙脚乱 ni 9
匆猝 ni 5
心神不定 ni 7
进网的鱼虾－慌了手脚 ni 3
紧迫 ni 5
仓卒从事 ni 5
临阵磨枪 ni 3
不尴不尬 ne 5
绝望 nj 9
惋惜 nb 3
遗憾 nj 5
买牛得羊－大失所望 nj 7
举步维艰 ne 7
嫉恨 nd 7
醋劲 nk 3
谤毁 nn 5
顿生疑窦 nl 9
疑问 nl 5
邮包掉进水田－半信半疑 nl 3
半途而废 nn 5
弊病 nn 7
草率 nn 5
迟钝 nn 5
居心不良 nn 7
苛求 nn 3
比屋而封 ph 7
实繁有徒 nn 5
风调雨顺 pa 5
黄金时代 ph 5
暖衣饱食 pa 5
物阜民康 ph 5
昏天暗地 nn 5
日月无光 nn 9
惩恶劝善 ph 5
邪不压正 pg 5
人人得而诛之 nd 9
春风风人 ph 3
拔十得五 nj 1
大材小用 nj 5
举贤任能 ph 5
窃据要津 nn 5
吐哺握发 ph 3
补天浴日 ph 9
负重致远 ph 7
呼风唤雨 ph 3
高抬明镜 ph 7
瞒天昧地 nn 7
欺人以方 nn 5
贪财好贿 nn 7
三过其门而不入 ph 9
擅自为谋 nn 7
植党营私 nn 7
路见不平，拔刀相助 ph 5
草间求活 nn 5
解衣推食 ph 7
憞信明义 ph 7
一言既出，驷马难追 ph 5
墨迹未干 nn 5
惠尔不费 ph 7
厉行节约 ph 5
肥马轻裘 nn 3
锦衣玉食 nn 5
钟鸣鼎食 nn 7
别树一帜 ph 7
自成一家 ph 5
冻解冰释 pe 5
应付自如 pe 5
画饼充饥 nn 3
高歌猛进 ph 5
十死一生 nc 9
百尺竿头，更进一步 ph 5
再接再厉 ph 3
木人石心 ph 5
誓死不二 ph 7
众口难调 ne 5
涸辙之鲋 ne 5
进退失据 ne 3
脆而不坚 nn 5
内外交困 ne 5
生灵涂炭 nn 9
英雄无用武之地 nj 7
虎穴龙潭 nc 7
以管窥天 nn 5
毫末之差 nn 5
方以类聚 nn 1
疾不可为 nj 5
运筹帷幄 ph 7
多此一举 nn 3
仁者见仁，智者见智 ph 3
颠来倒去 nn 3
再三再四 nn 5
风流罪过 nn 5
人非圣贤，孰能无过 pe 1
守望相助 ph 5
釜底游鱼 nj 7
不露斤斧 ph 5
镂月裁云 ph 5
运斤成风 ph 5
信而有征 pg 3
不见经传 nn 1
鸟枪换炮 ph 5
积厚流广 ph 5
另眼相看 pd 3
穷则思变 ph 5
覆车之鉴 ph 1
终非池中物 ph 5
降龙伏虎 ph 5
看人行事 nn 3
以水救水 nn 5
豪迈不群 nn 5
温良谦恭让 ph 7
喜怒不形于色 ph 3
含垢忍辱 ph 5
本性难移 nn 5
龙肝豹胎 ph 7
鱼龙曼衍 nn 5
垂暮之年 nb 5
一误再误 nn 7
论甘忌辛 nn 5
舞文弄墨 nn 5
龙驹凤雏 ph 7
蹈人旧辙 nn 5
泥古非今 nn 5
千头百绪 nn 7
一塌胡涂 nn 7
长他人志气，灭自己威风 nn 3
酒色财气 nn 5
分钗断带 nb 5
潸然泪下 nb 5
齐大非耦 nc 3
天作之合 ph 7
新婚燕尔 pa 7
五世同堂 ph 5
窑宅之所 nn 3
安富尊容 nn 3
孤云野鹤 pe 3
地坼天崩 nb 5
流离失所 nb 5
撞府冲州 ph 3
黄河水清 pc 7
遍体鳞伤 nb 5
二竖之顽 nb 5
死于非命 nn 7
寝苫枕块 nb 7
形单影只 nb 5
六亲无靠 nb 5
薪火相传 ph 3
臭不可当 nd 9
名垂竹帛 ph 9
身价百倍 ph 5
吐属不凡 ph 5
词穷理极 ph 3
能言善辩 ph 5
悬河泻水 ph 7
修身慎行 ph 3
出言无状 nn 7
欺人之谈 nn 5
语无伦次 nn 5
浮语虚词 nn 5
夸大其词 nn 5
贫嘴贱舌 nn 5
呶呶不休 nn 5
按图所骏 nn 3
狗血喷头 nd 7
搜索枯肠 ne 7
将心比心 ph 5
闻一知十 ph 5
念兹在兹 pf 7
豁然贯通 pa 5
茅塞顿开 pa 5
真相大白 pe 5
悬崖勒马 ph 1
负荆请罪 nh 7
三年不窥园 ph 7
隐约其辞 nn 3
贵耳贱目 nn 3
今朝有酒今朝醉 nn 3
穷鸟入怀 nn 1
人多势众 nn 3
倚酒三分醉 nn 3
不劳而获 nn 5
悠悠荡荡 nn 3
一傅众修 nn 3
洪水猛兽 nc 7
三灾八难 ne 5
众口嗷嗷 nb 5
家给人足 pa 5
腰缠万贯 ph 7
赤贫如洗 nb 5
二旬九食 nb 1
家无儋石 nb 3
牛衣对泣 nb 3
穷猿奔林 pk 5
吮痈舐痔 nd 7
食不糊口 nb 3
飞言醋语 nn 3
吴市吹箫 nb 3
一贫如洗 nb 5
调三窝四 nd 5
俾昼作夜 nd 5
生财有道 ph 3
贪财恋色 nn 7
豺虎肆虐 nn 7
桀骜不驯 nn 5
悖入悖出 nn 5
腥风血雨 nn 7
诛锄异己 nn 7
浩然之气 ph 7
暗弱无断 nn 5
傲雪欺霜 ph 5
汤池铁城 ph 5
常备不懈 ph 5
枕戈待敌 ph 5
师不宿饱 nj 5
当断不断 nn 5
狐埋狐搰 nl 5
筑室道谋 nn 3
奴颜婢睐 nn 7
降心相从 ne 3
随声是非 nn 3
寸量铢称 nn 5
动辄得咎 ne 5
逃之夭夭 nn 5
虚张声势 nd 5
素口骂人 nd 5
推波作浪 nd 5
夜场梦多 nc 5
